,Ozone_ppb,Month
1575,40.70353448275862,2014-04-25
1576,39.84140229885056,2014-04-26
1577,38.87583236994221,2014-04-27
1578,42.98978160919537,2014-04-28
1579,42.99689595375723,2014-04-29
1580,47.93791011235953,2014-04-30
1581,50.39560555555556,2014-05-01
1582,48.10476111111108,2014-05-02
1583,45.35422598870057,2014-05-03
1584,40.801368421052615,2014-05-04
1585,40.42095375722544,2014-05-05
1586,35.269925714285726,2014-05-06
1587,39.06414772727271,2014-05-07
1588,36.5599604519774,2014-05-08
1589,40.85499438202247,2014-05-09
1590,41.606971910112364,2014-05-10
1591,36.51875842696629,2014-05-11
1592,40.367770949720715,2014-05-12
1593,47.60147191011235,2014-05-13
1594,46.7259175824176,2014-05-14
1595,48.74886187845304,2014-05-15
1596,48.99884831460671,2014-05-16
1597,45.970395480225996,2014-05-17
1598,39.38653672316388,2014-05-18
1599,36.75750561797757,2014-05-19
1600,33.67755056179775,2014-05-20
1601,34.862702247191,2014-05-21
1602,37.67601704545453,2014-05-22
1603,38.46613714285714,2014-05-23
1604,37.77557142857143,2014-05-24
1605,40.963586206896565,2014-05-25
1606,41.844321839080436,2014-05-26
1607,46.23824571428572,2014-05-27
1608,42.063091428571454,2014-05-28
1609,41.50219318181819,2014-05-29
1610,45.33483050847458,2014-05-30
1611,47.017016853932546,2014-05-31
1612,49.023796610169455,2014-06-01
1613,44.07264971751413,2014-06-02
1614,44.67110857142857,2014-06-03
1615,47.412068181818164,2014-06-04
1616,47.2737167630058,2014-06-05
1617,45.66100571428573,2014-06-06
1618,44.79841714285713,2014-06-07
1619,43.58717142857145,2014-06-08
1620,46.082988571428565,2014-06-09
1621,42.3953465909091,2014-06-10
1622,42.01552571428573,2014-06-11
1623,39.620742857142865,2014-06-12
1624,38.81421590909089,2014-06-13
1625,41.80822159090909,2014-06-14
1626,38.40624431818183,2014-06-15
1627,34.706196629213494,2014-06-16
1628,32.35556179775281,2014-06-17
1629,36.83469273743016,2014-06-18
1630,39.98891011235955,2014-06-19
1631,42.393679558011065,2014-06-20
1632,41.21767403314917,2014-06-21
1633,39.67385635359118,2014-06-22
1634,40.99097222222221,2014-06-23
1635,36.43018784530386,2014-06-24
1636,32.22645303867402,2014-06-25
1637,31.277194444444472,2014-06-26
1638,29.98940331491713,2014-06-27
1639,37.5110220994475,2014-06-28
1640,41.122988888888884,2014-06-29
1641,42.81063128491621,2014-06-30
1642,42.72293220338985,2014-07-01
1643,39.852452513966455,2014-07-02
1644,37.242393258426965,2014-07-03
1645,36.8532752808989,2014-07-04
1646,38.26135955056179,2014-07-05
1647,40.08468361581922,2014-07-06
1648,38.81424719101122,2014-07-07
1649,39.96119101123594,2014-07-08
1650,36.33738764044942,2014-07-09
1651,34.16856179775282,2014-07-10
1652,31.814016949152563,2014-07-11
1653,35.09374431818183,2014-07-12
1654,38.04803409090909,2014-07-13
1655,37.04242045454547,2014-07-14
1656,36.50156250000001,2014-07-15
1657,33.66546590909092,2014-07-16
1658,31.52467231638419,2014-07-17
1659,32.118488764044926,2014-07-18
1660,32.38813636363637,2014-07-19
1661,31.7135227272727,2014-07-20
1662,31.910414772727265,2014-07-21
1663,32.35426553672316,2014-07-22
1664,31.430494382022466,2014-07-23
1665,38.152522471910096,2014-07-24
1666,40.406312500000034,2014-07-25
1667,41.641085714285715,2014-07-26
1668,40.23194915254237,2014-07-27
1669,38.06090449438205,2014-07-28
1670,37.870666666666644,2014-07-29
1671,38.27416477272728,2014-07-30
1672,39.20990960451979,2014-07-31
1673,39.60730681818182,2014-08-01
1674,35.48070857142857,2014-08-02
1675,33.86000574712642,2014-08-03
1676,34.16372159090907,2014-08-04
1677,33.86427840909094,2014-08-05
1678,37.733965714285695,2014-08-06
1679,38.98233522727273,2014-08-07
1680,40.626182857142865,2014-08-08
1681,39.031451428571415,2014-08-09
1682,36.770874285714314,2014-08-10
1683,36.57607386363637,2014-08-11
1684,34.7812372881356,2014-08-12
1685,29.762344632768354,2014-08-13
1686,30.991401129943494,2014-08-14
1687,35.13454494382021,2014-08-15
1688,37.60969318181821,2014-08-16
1689,38.855937500000024,2014-08-17
1690,37.90485875706216,2014-08-18
1691,35.742230337078645,2014-08-19
1692,32.63223163841806,2014-08-20
1693,34.876638418079075,2014-08-21
1694,34.90416292134831,2014-08-22
1695,37.434264044943845,2014-08-23
1696,38.3148033707865,2014-08-24
1697,36.40638764044944,2014-08-25
1698,37.96225280898877,2014-08-26
1699,41.68053370786516,2014-08-27
1700,40.710497206703955,2014-08-28
1701,39.20060893854747,2014-08-29
1702,39.007061452513966,2014-08-30
1703,38.006387640449404,2014-08-31
1704,38.83591061452514,2014-09-01
1705,38.91368156424581,2014-09-02
1706,39.68527374301677,2014-09-03
1707,39.79592090395482,2014-09-04
1708,41.409874285714274,2014-09-05
1709,43.37379069767441,2014-09-06
1710,42.10822941176469,2014-09-07
1711,35.607760233918135,2014-09-08
1712,33.298436046511604,2014-09-09
1713,40.29564161849711,2014-09-10
1714,43.449350282485895,2014-09-11
1715,42.24443181818181,2014-09-12
1716,41.71100571428569,2014-09-13
1717,41.04674857142857,2014-09-14
1718,37.36724712643678,2014-09-15
1719,35.25752298850575,2014-09-16
1720,31.497988571428557,2014-09-17
1721,25.952762711864423,2014-09-18
1722,29.86009039548023,2014-09-19
1723,34.43142045454545,2014-09-20
1724,32.96357386363635,2014-09-21
1725,36.15081460674156,2014-09-22
1726,35.300508474576276,2014-09-23
1727,31.149331460674137,2014-09-24
1728,27.753011235955054,2014-09-25
1729,32.31611797752807,2014-09-26
1730,32.63510112359549,2014-09-27
1731,30.480280898876394,2014-09-28
1732,31.46567977528091,2014-09-29
1733,35.0709,2014-09-30
1734,34.941033707865145,2014-10-01
1735,38.45773888888887,2014-10-02
1736,40.98296111111111,2014-10-03
1737,42.835549999999984,2014-10-04
1738,45.39350555555556,2014-10-05
1739,41.90900555555558,2014-10-06
1740,38.7959944134078,2014-10-07
